
INFO_NOFUNDS				;Parece que você não tem dinheiro suficiente para pagar por isso
INFO_UNMETEMPIRE			;O novo império é chamado de {0}
INFO_EXPLORATION	 		;Nós lhe demos mapas do sistema {0} no setor {1}
INFO_INDEPENDENTCOLONY			;A colônia independente está em {0}
INFO_RUINS				;Nossos contatos nos informam sobre algumas ruínas antigas, o {0}, em {1}.\n\nTalvez você encontre algo de valor lá...
INFO_DEBRISFIELD			;Ouvimos rumores sobre um vasto campo de destroços de naves de uma batalha antiga no sistema {0} no setor {1}.\n\nAparentemente muitos dos destroços são recuperáveis. Se você enviar uma nave de construção, deverá conseguir recuperar alguns deles...
INFO_PLANETDESTROYER			;Ouvimos rumores sobre um projeto colossal abandonado no sistema {0} no setor {1}.\n\nNão temos certeza para que serve o projeto, mas com o equipamento certo provavelmente poderia ser concluído...
INFO_RESTRICTEDAREA			;Ouvimos rumores sobre uma área restrita secreta perto do sistema {0} no setor {1}.\n\nParece que as naves que entram nesta área têm seus drives hiperespaciais desativados de repente e misteriosamente. Muitos que entram nunca mais são ouvidos...
PIRATE_PROTECTIONPROPOSE		;Você é sábio em vir até nós em busca de proteção. Pela taxa totalmente razoável mostrada abaixo, podemos garantir sua segurança em todo o nosso domínio.
PIRATE_PROTECTIONPROPOSEINITIATE	;Quem sabe que perigos ocultos o esperam ao viajar pelas regiões sem lei do espaço?\n\nPela taxa totalmente razoável mostrada abaixo, podemos garantir sua segurança em todo o nosso domínio.\n\nO que você diz?
PIRATE_PROTECTIONACCEPTRESPONSE		;Excelente! Garantiremos que suas naves não sofram 'acidentes infelizes' até que nossa próxima taxa seja devida...
PIRATE_PROTECTIONREJECTRESPONSE		;Pena que você é tão mesquinho! Sem pagamento, não podemos garantir sua segurança...
PIRATE_PROTECTIONALREADYPAID		;Você já nos pagou pela proteção.\n\nVolte quando seu período de proteção atual expirar. Teremos prazer em aceitar outro pagamento então.
PIRATE_BUYINFO				;Podemos fornecer informações sobre qualquer um dos itens listados abaixo pelos preços indicados
PIRATE_ATTACKOFFER_EMPIRES		;Estaríamos dispostos a atacar qualquer um dos impérios listados abaixo pelos preços indicados
PIRATE_ATTACKOFFER_SINGLEEMPIRE		;Parece que você está tendo problemas com o {0}. Ficaríamos muito felizes em atacar suas bases por você.\n\nÉ claro que seremos muito discretos sobre nosso acordo - ninguém mais saberá.\n\nTudo o que pedimos por esse serviço é um pequeno pagamento de {1} créditos. O que você diz?
PIRATE_ATTACKCOMMENCE			;Considere um dinheiro bem gasto. Vamos iniciar nossos ataques ao {0} imediatamente!

PIRATE_ALLIANCEPROPOSE			;Seu acordo anterior conosco agora expirou. Que tal atualizar para uma aliança permanente conosco?\n\nPela taxa mensal contínua de {0} créditos, poderíamos proteger suas naves e também atacar seus inimigos, enquanto você mantém as mãos limpas.\n\nO que você acha?
PIRATE_ALLIANCEACCEPT			;Aceitamos sua oferta de uma aliança
PIRATE_ALLIANCEACCEPTRESPONSE	;Uma decisão excelente!\n\nVamos garantir que suas naves estejam seguras contra nossos saqueadores. E começaremos a mirar nos bens de seus inimigos.\n\nInforme-nos se há alguém que você gostaria especialmente que atacássemos
PIRATE_ALLIANCEREJECT			;Rejeitamos sua oferta de aliança
PIRATE_ALLIANCEREJECTRESPONSE	;Uma escolha ruim.\n\nNão podemos ajudá-lo sem a devida remuneração.\n\nPirataria é um negócio caro, você sabe!
PIRATE_ALLIANCECANCEL			;Desejamos cancelar esta aliança
PIRATE_ALLIANCECANCELRESPONSE	;Um fim triste para um relacionamento tão lucrativo...\n\nLembre-se de que sem pagamento contínuo não podemos garantir a segurança de suas naves.\n\nTalvez você deva reconsiderar?

INFO_OFFER_UNMETEMPIRE			;A troca com outras civilizações é a chave para o crescimento e a prosperidade, você não acha?\n\nPodemos colocá-lo em contato com outro império por {0} créditos
INFO_OFFER_INDEPENDENTCOLONY		;Se perguntando onde estabelecer sua próxima colônia?\n\nPodemos revelar a localização de uma colônia independente por {0} créditos
INFO_OFFER_SYSTEMMAPS			;Conhecer seus arredores é a chave para sobrevivência.\n\nTemos mapas de um sistema inexplorado que estamos dispostos a vender para você por {0} créditos
INFO_OFFER_RUINS			;Existem muitos segredos valiosos escondidos pela galáxia.\n\nFizemos uma descoberta intrigante que ficaríamos felizes em compartilhar com você por {0} créditos.\n\nO que você diz?
INFO_OFFER_DEBRISFIELD			;Existem muitos segredos valiosos escondidos pela galáxia.\n\nFizemos uma descoberta intrigante que ficaríamos felizes em compartilhar com você por {0} créditos.\n\nO que você diz?
INFO_OFFER_RESTRICTEDAREA		;Existem muitos segredos valiosos escondidos pela galáxia.\n\nFizemos uma descoberta intrigante que ficaríamos felizes em compartilhar com você por {0} créditos.\n\nO que você diz?
INFO_OFFER_PLANETDESTROYER		;Existem muitos segredos valiosos escondidos pela galáxia.\n\nFizemos uma descoberta intrigante que ficaríamos felizes em compartilhar com você por {0} créditos.\n\nO que você diz?

OFFER_FREETRADE				;Instamos você a se juntar à nossa economia dinâmica em um Acordo de Livre Comércio!\n\nO que você diz?
OFFER_PROTECTORATE			;Nossos amigos, oferecemos-lhe refúgio em um tratado de Protetorado. Nosso poderoso império irá defendê-lo contra quaisquer atacantes.\n\nO que você acha?
OFFER_MUTUALDEFENSE			;Nossos bons amigos, sentimos que seria do interesse de ambos formar um Pacto de Defesa Mútua.\n\nIsso desencorajaria outros de lançar ataques contra qualquer um de nós.\n\nO que você acha?

OFFER_DEAL_TERRITORYMAP	;Gostaria de trocar mapas de território?
OFFER_DEAL_GALAXYMAP	;Gostaria de trocar mapas da galáxia?
OFFER_DEAL_COMPONENT	;Gostaria de comprar alguma tecnologia de nós?\n\nEstamos dispostos a vender {0} por {1} créditos.\n\nO que você diz?

DEAL_OFFER				;Por favor, considere esta oferta comercial.\n\nNós lhe damos: {0}...\n\n...em troca de: {1}
DEAL_DEMAND				;Exigimos que você renuncie à propriedade disso:\n\n{1}
DEAL_THREAT				;Você deve nos dar isso:\n\n{1}\n\n...{0}
DEAL_ACCEPTCOMPLAIN		;Nós concordamos com suas demandas ultrajantes, mas sob coação!
DEAL_IMPROVE			;Sua proposta merece mais consideração - você pode melhorar sua oferta?
DEAL_REJECTCOMPLAIN		;Não nos intimide! Não temos medo de suas ameaças!
DEAL_REJECTDEMAND_RESPONSE	;Como ousa rejeitar nossa ultimato totalmente razoável!\n\nEssa será a última vez que você comete esse erro!
'DEAL_REJECTCOMPLAIN		;Esta proposta é totalmente unilateral! NÃO vamos aceitá-la!
'DEAL_REJECTCOMPLAIN		;Não nos intimide! Ofereça um comércio justo e talvez consideremos

MUTUALDEFENSE_ACCEPT			;Concordamos, um Pacto de Defesa Mútua com você seria altamente benéfico.\n\nViva nossa aliança!
MUTUALDEFENSE_REJECT			;Obrigado pela oferta, mas não desejamos um Pacto de Defesa Mútua neste momento
MUTUALDEFENSE_REQUESTHELP		;Estamos sendo atacados pelos {0}! Pedimos que você honre seu tratado conosco e declare guerra contra eles.\n\nVocê ficará ao nosso lado?
MUTUALDEFENSE_HONORREQUESTHELP		;Estamos ao lado de nossos amigos e aliados - declaramos guerra aos {0}!
MUTUALDEFENSE_HONORREQUESTHELP_RESPONSE	;Agradecemos profundamente seu apoio leal, amigo!
MUTUALDEFENSE_DECLINEREQUESTHELP	;Desculpe, mas você está por sua conta...
MUTUALDEFENSE_DECLINEREQUESTHELP_RESPONSE	;Não esqueceremos como você nos abandonou traiçoeiramente!

PROTECTORATE_ACCEPT			;Aceitamos graciosamente sua oferta de um Protetorado!
PROTECTORATE_REJECT			;Desculpe, mas não queremos fazer parte de um tratado de Protetorado no momento
FREETRADE_ACCEPT			;Aceitamos com prazer sua oferta de um Acordo de Livre Comércio!
FREETRADE_REJECT			;Desculpe, mas não estamos interessados em um Acordo de Livre Comércio neste momento

SUBJUGATION_RELEASE_RESPONSE		;Liberdade finalmente!
SUBJUGATIONDEMAND_ACCEPT_RESPONSE	;Bem-vindos aos nossos novos escravos! A derrota é amarga, não é?
WAR_END_ACCEPT_RESPONSE			;Uma escolha sábia

TRADESANCTIONS_IMPOSE			;Estamos impondo Sanções Comerciais contra você. Com efeito imediato, todo comércio entre nossos dois impérios está terminado!
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Isso é um ultraje! Você pagará por essa perfídia!
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Tudo bem então! Isso vai te machucar mais do que a nós!
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Sanções Comerciais?! O que fizemos de errado? Pensei que éramos amigos!
TRADESANCTIONS_LIFT			;Estamos suspendendo nossas Sanções Comerciais contra você. Agora retomaremos o comércio normal
TRADESANCTIONS_LIFT_RESPONSE		;Huh! Não precisamos do seu comércio,... mas aceitamos essa mudança
TRADESANCTIONS_REQUESTLIFTOTHER		;Exigimos que você restaure o comércio com os {0} imediatamente!
TRADESANCTIONS_REQUESTLIFTOTHER_ACCEPT	;Como você solicitou, vamos retomar o comércio com os {0}
