
GREETING_INTRODUCTION			;Nós somos os {0}.\n\nNós gostamos da vida tranquila. E de um bom jogo de Todash.\n\nE você?
GREETING_FRIENDLY			;Ah, bom te ver de novo!\n\nGostaria de se juntar ao nosso jogo de Todash?
GREETING_NEUTRAL			;Hmm? Oh, você tem algo para discutir?
GREETING_ANGRY				;Grrr, você ousa vir até nós! É melhor que seja importante.\n\nFale!

PIRATE_PROTECTIONPROPOSE		;Proteção para suas naves? Sim, nós podemos fornecer isso para você.\n\nPelo preço mostrado abaixo, podemos 'proteger' todas as suas naves enquanto viajam pelo nosso território.\n\nParece um bom negócio para você?
PIRATE_PROTECTIONPROPOSEINITIATE	;Existem muitos perigos ocultos esperando pelas suas naves - piratas, por exemplo!\n\nMas por uma taxa modesta, podemos proteger todas as suas naves que atravessam nosso território.\n\nUma oferta tentadora, concorda?
PIRATE_PROTECTIONACCEPTRESPONSE		;Excelente!\n\nVamos informar às nossas naves para se retirarem quando avistarem qualquer uma de suas naves.\n\nAté logo, até a próxima taxa...
PIRATE_PROTECTIONREJECTRESPONSE		;Nós nos perguntamos se você está procurando por problemas.\n\nTalvez você esteja...
PIRATE_ATTACKOFFER_SINGLEEMPIRE		;Você parece estar tendo dificuldades com os {0}. Isso não precisa ser um problema para você - nós podemos atacá-los por você!\n\nEste arranjo será mantido em segredo, apenas entre nós. Você não receberá a culpa pelos ataques.\n\nTudo o que precisamos é de um pagamento de {1} créditos.
PIRATE_ATTACKCOMMENCE			;Você nos contratou!\n\nOs {0} não saberão o que os atingiu!

OFFER_FREETRADE				;Sabe de uma coisa: o que precisamos é de um Acordo de Livre Comércio. Seria uma ótima coisa.\n\nO que você acha?
FREETRADE_ACCEPT			;Um Acordo de Livre Comércio, isso é uma ótima ideia! Nós aceitamos.\n\nJá estamos pensando nas formas de gastar todo esse dinheiro extra!
FREETRADE_REJECT			;Bem, na verdade não. Nós não achamos que um Acordo de Livre Comércio seria uma boa ideia.\n\nPelo menos não com você.

CANCELTREATY				;Aquele {0} que tínhamos com você? Acabou: terminou, acabou, kaput.\n\nSimplesmente não funcionou.
CANCELTREATY_RESPONSE_FRIENDLY		;Ah, droga!\n\nNós achávamos que tínhamos algo bom ali. Nunca se pode dizer, eu acho.
